helpfulness,review_id,rating,title,text,helpfulness_score
2,1160246,,,,
3,1076638,,,,
4,1349745,,,,
4,446140,,,,
3,91617,,,,
2,1646723,,,,
3,1394753,,,,
3,842208,,,,
3,1809515,,,,
2,1601989,,,,
2,1809464,,,,
4,584171,,,,
3,2894,,,,
3,808131,,,,
4,1303326,,,,
3,1176329,,,,
3,992770,,,,
3,379802,,,,
3,36523,,,,
2,999430,,,,
2,1361442,,,,
1,886260,,,,
3,95215,,,,
1,1134302,,,,
3,381603,,,,
3,1809568,,,,
2,1809533,,,,
3,1466086,,,,
4,1220984,,,,
2,33573,,,,
4,145322,,,,
2,1809296,,,,
4,1579981,,,,
3,887534,,,,
3,781402,,,,
3,581090,,,,
2,347512,,,,
2,930381,,,,
2,6232,,,,
3,1250974,,,,
2,1481207,,,,
4,609149,,,,
4,668244,,,,
2,1809530,,,,
2,1188113,,,,
3,1685113,,,,
3,69480,,,,
2,712485,,,,
4,297667,,,,
3,758654,,,,
3,925102,,,,
5,1680318,,,,
3,1538715,,,,
1,736157,,,,
3,1215476,,,,
2,655746,,,,
1,1809400,,,,
3,1972144,,,,
