helpfulness,review_id,criteria_scores
2,1250974,"{'Specificity and Detail': 2, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
2,1481207,"{'Specificity and Detail': 1, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
3,609149,"{'Specificity and Detail': 3, 'Length and Conciseness': 3, 'Balanced Perspective': 2, 'Constructive Sentiment': 3, 'Readability': 3, 'Comparative Insights': 2, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 2, 'User Experience Context': 3, 'Consistency with Rating': 3}"
3,668244,"{'Specificity and Detail': 3, 'Length and Conciseness': 3, 'Balanced Perspective': 2, 'Constructive Sentiment': 3, 'Readability': 3, 'Comparative Insights': 2, 'Emotionally Intelligent Language': 3, 'Relevance to the Product': 4, 'Use of Evidence': 2, 'User Experience Context': 3, 'Consistency with Rating': 3}"
2,1809530,"{'Specificity and Detail': 1, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 1, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
2,1188113,"{'Specificity and Detail': 2, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
3,1685113,"{'Specificity and Detail': 3, 'Length and Conciseness': 3, 'Balanced Perspective': 2, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 2, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 2, 'User Experience Context': 3, 'Consistency with Rating': 3}"
2,69480,"{'Specificity and Detail': 2, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
2,712485,"{'Specificity and Detail': 2, 'Length and Conciseness': 2, 'Balanced Perspective': 1, 'Constructive Sentiment': 2, 'Readability': 3, 'Comparative Insights': 1, 'Emotionally Intelligent Language': 2, 'Relevance to the Product': 4, 'Use of Evidence': 1, 'User Experience Context': 2, 'Consistency with Rating': 2}"
4,297667,
3,758654,
2,925102,
3,1680318,
2,1538715,
1,736157,
2,1215476,
2,655746,
1,1809400,
3,1972144,
