helpfulness,review_id,review_text,text,+review_id
1,3525205.0,,,
2,3524097.0,,,
5,479793.0,,,
3,2444850.0,,,
3,399861.0,,,
1,11593.0,,,
3,1005604.0,,,
4,600928.0,,,
2,1895810.0,,,
3,3523458.0,,,
2,676375.0,,,
2,3522892.0,,,
2,973588.0,,,
1,3143857.0,,,
3,3523999.0,,,
4,1309436.0,,,
2,2703810.0,,,
1,3523678.0,,,
2,3323854.0,,,
1,3524543.0,,,
2,3207280.0,,,
3,3525875.0,,,
3,545091.0,,,
1,3524421.0,,,
4,432083.0,,,
2,3525214.0,,,
2,3523613.0,,,
3,3475339.0,,,
4,589388.0,,,
5,3524387.0,,,
3,649706.0,,,
2,4643685.0,,,
3,5828605.0,,,
1,3525052.0,,,
4,1572861.0,,,
2,3523529.0,,,
3,3144581.0,,,
4,3524924.0,,,
4,112643.0,,,
2,1853186.0,,,
4,2319273.0,,,
4,1002906.0,,,
2,3525617.0,,,
2,3476693.0,,,
4,2545683.0,,,
5,3524321.0,,,
3,3228205.0,,,
3,3526790.0,,,
2,2169186.0,,,
2,3524504.0,,,
4,3525328.0,,,
4,3525051.0,,,
4,1442520.0,,,
3,3525942.0,,,
2,1533423.0,,,
4,1222901.0,,,
3,291819.0,,,
2,3524429.0,,,
2,475610.0,,,
3,3080.0,,,
4,3084222.0,,,
3,2987853.0,,,
2,1415179.0,,,
2,3523891.0,,,
3,3524938.0,,,
3,6996.0,,,
2,3525547.0,,,
4,5545828.0,,,
4,3523747.0,,,
2,3525648.0,,,
4,1911203.0,,,
3,3524816.0,,,
3,2568147.0,,,
3,227829.0,,,
4,3523936.0,,,
2,3523060.0,,,
3,2902483.0,,,
4,1182779.0,,,
4,18801.0,,,
4,3525643.0,,,
2,3524840.0,,,
2,3525084.0,,,
3,3158490.0,,,
4,3523042.0,,,
2,3525613.0,,,
3,3523038.0,,,
3,1079652.0,,,
4,3524891.0,,,
1,2184786.0,,,
4,2196459.0,,,
2,5861175.0,,,
3,3523548.0,,,
1,3525258.0,,,
2,492772.0,,,
2,3524185.0,,,
3,3700641.0,,,
4,1510396.0,,,
3,2165661.0,,,
5,750662.0,,,
4,900952.0,,,
2,3526229.0,,,
3,750100.0,,,
3,4696435.0,,,
4,1955597.0,,,
1,4029533.0,,,
2,2906103.0,,,
2,28894.0,,,
1,3525775.0,,,
2,1544484.0,,,
1,2843121.0,,,
1,3523952.0,,,
3,1115874.0,,,
2,2955430.0,,,
1,2079422.0,,,
3,3526271.0,,,
4,,,,3188231.0
4,742562.0,,,
2,3524328.0,,,
2,3523567.0,,,
4,3524517.0,,,
2,3523538.0,,,
3,3522939.0,,,
1,3526376.0,,,
5,1376669.0,,,
3,3878508.0,,,
3,3526491.0,,,
2,3319390.0,,,
3,567508.0,,,
3,323702.0,,,
2,3158561.0,,,
1,3526269.0,,,
4,1425090.0,,,
3,77210.0,,,
3,3432768.0,,,
2,3107730.0,,,
2,3525700.0,,,
2,1710086.0,,,
5,3526765.0,,,
5,3526619.0,,,
2,1487042.0,,,
2,832508.0,,,
4,151860.0,,,
2,1024312.0,,,
1,3525788.0,,,
1,2028270.0,,,
1,3524824.0,,,
2,3524668.0,,,
4,302190.0,,,
3,2752051.0,,,
4,1369161.0,,,
2,3331916.0,,,
3,3526712.0,,,
3,802939.0,,,
2,2626626.0,,,
4,3468786.0,,,
4,5665.0,,,
